outcome,outcome_kind,term,estimate,std_error,p_value,ci_low,ci_high,n_obs,model_type
log_total_fixation_duration,linear,speech_202207,0.063456596182941,0.06733238584015372,0.8333333333333334,-0.054835442124223074,0.12924017699192494,62354,ridge_linear_regression
log_total_fixation_duration,linear,speech_202208,0.034638131260922994,0.12435950925246823,0.5,-0.1686439656730818,0.23091847224403284,62354,ridge_linear_regression
log_total_fixation_duration,linear,speech_202209,0.25458803866827384,0.14539514925199673,0.16666666666666666,0.0368841626920481,0.48339384022416887,62354,ridge_linear_regression
log_total_fixation_duration,linear,speech_22811,-0.017564675490244847,0.07827368585929055,0.6666666666666666,-0.15466889721908478,0.06665438241235802,62354,ridge_linear_regression
log_total_fixation_duration,linear,speech_26670,0.03780666677318804,0.068667464926375,0.5,-0.08412933814303705,0.12405730159894403,62354,ridge_linear_regression
log_total_fixation_duration,linear,speech_26682,-0.052157211082644185,0.05806322004009955,0.16666666666666666,-0.16389081796992008,0.014697826221135586,62354,ridge_linear_regression
log_total_fixation_duration,linear,speech_7797,0.08220684706842782,0.05678320891734595,0.3333333333333333,-0.03555382528187588,0.16253387352062637,62354,ridge_linear_regression
log_total_fixation_duration,linear,speech_7856,0.021933002469196033,0.019929842170618245,0.0,0.003952063881343874,0.06891916195148722,62354,ridge_linear_regression
log_total_fixation_duration,linear,speech_7905,0.06302730642610373,0.05796991352869661,0.5,-0.04553110173106306,0.12572558888520244,62354,ridge_linear_regression
log_total_fixation_duration,linear,speech_7946,-0.06734300005574723,0.0469901644080357,0.16666666666666666,-0.14753873277444096,0.0031503145115354854,62354,ridge_linear_regression
